02/17/2026-15:28:56.773143  [**] [1:2034636:2] ET INFO Python SimpleHTTP ServerBanner [**] [Classification: Misc activity] [Priority: 3] {TCP} 10.0.1.10:8080 -> 10.0.3.10:58484
02/17/2026-15:28:56.779303  [**] [1:2210029:3] SURICATA STREAM ESTABLISHED invalid ack [**] [Classification: Generic Protocol Command Decode] [Priority: 3] {TCP} 10.0.3.10:58484 -> 10.0.1.10:8080
02/17/2026-15:28:56.779303  [**] [1:2210045:2] SURICATA STREAM Packet with invalid ack [**] [Classification: Generic Protocol Command Decode] [Priority: 3] {TCP} 10.0.3.10:58484 -> 10.0.1.10:8080
02/17/2026-15:28:56.779722  [**] [1:2210020:3] SURICATA STREAM ESTABLISHED packet out of window [**] [Classification: Generic Protocol Command Decode] [Priority: 3] {TCP} 10.0.1.10:8080 -> 10.0.3.10:58484
02/17/2026-15:28:56.780939  [**] [1:2210020:3] SURICATA STREAM ESTABLISHED packet out of window [**] [Classification: Generic Protocol Command Decode] [Priority: 3] {TCP} 10.0.1.10:8080 -> 10.0.3.10:58484
02/17/2026-15:28:56.781884  [**] [1:2210029:3] SURICATA STREAM ESTABLISHED invalid ack [**] [Classification: Generic Protocol Command Decode] [Priority: 3] {TCP} 10.0.3.10:58484 -> 10.0.1.10:8080
02/17/2026-15:28:56.781884  [**] [1:2210045:2] SURICATA STREAM Packet with invalid ack [**] [Classification: Generic Protocol Command Decode] [Priority: 3] {TCP} 10.0.3.10:58484 -> 10.0.1.10:8080
02/17/2026-15:28:56.791602  [**] [1:2210020:3] SURICATA STREAM ESTABLISHED packet out of window [**] [Classification: Generic Protocol Command Decode] [Priority: 3] {TCP} 10.0.1.10:8080 -> 10.0.3.10:58484
02/17/2026-15:28:56.799628  [**] [1:2210029:3] SURICATA STREAM ESTABLISHED invalid ack [**] [Classification: Generic Protocol Command Decode] [Priority: 3] {TCP} 10.0.3.10:58484 -> 10.0.1.10:8080
02/17/2026-15:28:56.799628  [**] [1:2210045:2] SURICATA STREAM Packet with invalid ack [**] [Classification: Generic Protocol Command Decode] [Priority: 3] {TCP} 10.0.3.10:58484 -> 10.0.1.10:8080
02/17/2026-15:28:56.799660  [**] [1:2210038:3] SURICATA STREAM FIN out of window [**] [Classification: Generic Protocol Command Decode] [Priority: 3] {TCP} 10.0.1.10:8080 -> 10.0.3.10:58484
02/17/2026-15:28:56.800527  [**] [1:2210030:3] SURICATA STREAM FIN invalid ack [**] [Classification: Generic Protocol Command Decode] [Priority: 3] {TCP} 10.0.3.10:58484 -> 10.0.1.10:8080
02/17/2026-15:29:25.705653  [**] [1:2034636:2] ET INFO Python SimpleHTTP ServerBanner [**] [Classification: Misc activity] [Priority: 3] {TCP} 10.0.1.10:8080 -> 10.0.3.10:39732
02/17/2026-15:29:25.711269  [**] [1:2210020:3] SURICATA STREAM ESTABLISHED packet out of window [**] [Classification: Generic Protocol Command Decode] [Priority: 3] {TCP} 10.0.1.10:8080 -> 10.0.3.10:39732
02/17/2026-15:29:25.711377  [**] [1:2210029:3] SURICATA STREAM ESTABLISHED invalid ack [**] [Classification: Generic Protocol Command Decode] [Priority: 3] {TCP} 10.0.3.10:39732 -> 10.0.1.10:8080
02/17/2026-15:29:25.711377  [**] [1:2210045:2] SURICATA STREAM Packet with invalid ack [**] [Classification: Generic Protocol Command Decode] [Priority: 3] {TCP} 10.0.3.10:39732 -> 10.0.1.10:8080
02/17/2026-15:29:25.714281  [**] [1:2210020:3] SURICATA STREAM ESTABLISHED packet out of window [**] [Classification: Generic Protocol Command Decode] [Priority: 3] {TCP} 10.0.1.10:8080 -> 10.0.3.10:39732
02/17/2026-15:29:25.717558  [**] [1:2210029:3] SURICATA STREAM ESTABLISHED invalid ack [**] [Classification: Generic Protocol Command Decode] [Priority: 3] {TCP} 10.0.3.10:39732 -> 10.0.1.10:8080
02/17/2026-15:29:25.717558  [**] [1:2210045:2] SURICATA STREAM Packet with invalid ack [**] [Classification: Generic Protocol Command Decode] [Priority: 3] {TCP} 10.0.3.10:39732 -> 10.0.1.10:8080
02/17/2026-15:29:25.726610  [**] [1:2210020:3] SURICATA STREAM ESTABLISHED packet out of window [**] [Classification: Generic Protocol Command Decode] [Priority: 3] {TCP} 10.0.1.10:8080 -> 10.0.3.10:39732
02/17/2026-15:29:25.737241  [**] [1:2210038:3] SURICATA STREAM FIN out of window [**] [Classification: Generic Protocol Command Decode] [Priority: 3] {TCP} 10.0.1.10:8080 -> 10.0.3.10:39732
02/17/2026-15:29:25.740187  [**] [1:2210030:3] SURICATA STREAM FIN invalid ack [**] [Classification: Generic Protocol Command Decode] [Priority: 3] {TCP} 10.0.3.10:39732 -> 10.0.1.10:8080
02/17/2026-15:30:01.565929  [**] [1:2260000:1] SURICATA Applayer Mismatch protocol both directions [**] [Classification: Generic Protocol Command Decode] [Priority: 3] {TCP} 10.0.3.10:39574 -> 10.0.1.10:80
02/17/2026-15:30:01.593748  [**] [1:2221036:1] SURICATA HTTP Response excessive header repetition [**] [Classification: Generic Protocol Command Decode] [Priority: 3] {TCP} 10.0.1.10:80 -> 10.0.3.10:39588
02/17/2026-16:14:47.271812  [**] [1:2260000:1] SURICATA Applayer Mismatch protocol both directions [**] [Classification: Generic Protocol Command Decode] [Priority: 3] {TCP} 10.0.3.10:39802 -> 10.0.1.10:80
02/17/2026-16:14:47.298760  [**] [1:2221036:1] SURICATA HTTP Response excessive header repetition [**] [Classification: Generic Protocol Command Decode] [Priority: 3] {TCP} 10.0.1.10:80 -> 10.0.3.10:39810
02/17/2026-16:47:30.590936  [**] [1:2260000:1] SURICATA Applayer Mismatch protocol both directions [**] [Classification: Generic Protocol Command Decode] [Priority: 3] {TCP} 10.0.3.10:51368 -> 10.0.1.10:80
02/17/2026-16:47:30.605538  [**] [1:2221036:1] SURICATA HTTP Response excessive header repetition [**] [Classification: Generic Protocol Command Decode] [Priority: 3] {TCP} 10.0.1.10:80 -> 10.0.3.10:51382
02/17/2026-16:52:41.152642  [**] [1:2260000:1] SURICATA Applayer Mismatch protocol both directions [**] [Classification: Generic Protocol Command Decode] [Priority: 3] {TCP} 10.0.3.10:37922 -> 10.0.1.10:80
02/17/2026-16:52:41.179814  [**] [1:2221036:1] SURICATA HTTP Response excessive header repetition [**] [Classification: Generic Protocol Command Decode] [Priority: 3] {TCP} 10.0.1.10:80 -> 10.0.3.10:37926
02/17/2026-16:53:52.815957  [**] [1:2210029:3] SURICATA STREAM ESTABLISHED invalid ack [**] [Classification: Generic Protocol Command Decode] [Priority: 3] {TCP} 10.0.1.10:80 -> 10.0.3.10:52688
02/17/2026-16:53:52.815957  [**] [1:2210045:2] SURICATA STREAM Packet with invalid ack [**] [Classification: Generic Protocol Command Decode] [Priority: 3] {TCP} 10.0.1.10:80 -> 10.0.3.10:52688
02/17/2026-16:53:52.815984  [**] [1:2210020:3] SURICATA STREAM ESTABLISHED packet out of window [**] [Classification: Generic Protocol Command Decode] [Priority: 3] {TCP} 10.0.3.10:52688 -> 10.0.1.10:80
02/17/2026-16:53:52.815988  [**] [1:2210020:3] SURICATA STREAM ESTABLISHED packet out of window [**] [Classification: Generic Protocol Command Decode] [Priority: 3] {TCP} 10.0.3.10:52688 -> 10.0.1.10:80
02/17/2026-16:53:52.816305  [**] [1:2210020:3] SURICATA STREAM ESTABLISHED packet out of window [**] [Classification: Generic Protocol Command Decode] [Priority: 3] {TCP} 10.0.3.10:52688 -> 10.0.1.10:80
02/17/2026-16:53:52.819588  [**] [1:2210029:3] SURICATA STREAM ESTABLISHED invalid ack [**] [Classification: Generic Protocol Command Decode] [Priority: 3] {TCP} 10.0.1.10:80 -> 10.0.3.10:52688
02/17/2026-16:53:52.819588  [**] [1:2210045:2] SURICATA STREAM Packet with invalid ack [**] [Classification: Generic Protocol Command Decode] [Priority: 3] {TCP} 10.0.1.10:80 -> 10.0.3.10:52688
02/17/2026-16:53:52.823757  [**] [1:2210029:3] SURICATA STREAM ESTABLISHED invalid ack [**] [Classification: Generic Protocol Command Decode] [Priority: 3] {TCP} 10.0.1.10:80 -> 10.0.3.10:52688
